node_id	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24
0	0.2428691239909498	-0.4089330743112242	-0.3984388025448004	-0.12236254218213212	0.10221168646734823	-0.5527731263368005	0.2332941353426956	-0.3050970204001202	-0.5492550831210331	0.3688033413404124	-0.08490535565829314	-0.13875449308134313	0.0032705490216174585	-0.2348935022827977	0.19332525685575924	0.12170694615953621	0.030084344553376864	-0.2783681400359322	0.010016215344682736	-0.11679768529704719	-0.24997052731877106	-0.1509310383618269	0.060098234648296424	-0.19602885082620441	-0.005578633810842121
1	-0.346974687507366	0.19864991777214844	-0.36733249121500716	-0.5378281533114031	-0.2909691581968581	-0.4179478778958059	-0.005974472357180856	0.15342949190989913	-0.1493100148303685	0.020426968833833443	-0.02692075793897136	-0.0351568836172637	-0.0807850426737834	-0.06774147723329339	0.09509383845606628	-0.012681850057401817	0.1578167503595756	-0.1486272373304498	-0.06486577631387147	-0.060305008131764835	0.14893312577723974	-0.25074612508459376	0.3773368935761788	0.09625331948622792	-0.19274810705196468
2	-0.5177627179023517	0.3558540859409718	-0.6161467998968909	-0.6604575141102825	-0.6421863458507865	0.29469700572993307	0.06517677983387905	-0.017888967410946005	0.08199474796970427	0.0343086152381256	-0.05798959628808166	0.07534811774660118	-0.22086820744753502	0.15673759842206839	0.09323408868402422	0.02813462333818828	-0.0008887903237856468	-0.06909753234929922	0.08719043477991793	-0.2949112844467866	-0.2700714653667396	0.020054087333124106	-0.11188853659449242	-0.15208829513212072	0.09640191396553277
3	-0.7096554716408928	0.5874409432316143	-1.2799718894780467	-1.329342508665962	-1.366907008376271	1.1688833546045492	-0.09184002333050094	0.4650043865882188	-0.48610980662539327	-0.03938841833780113	0.13778848811249847	-0.014662150319806385	0.548277559153243	-0.11531350730690916	-0.11999907655198361	0.37778669072482285	-0.257652233745073	-0.038755849595828715	0.12924078879461412	0.007895232721042703	0.23174424796146403	0.8698259378988674	-0.15476005617093042	-0.12208108003162332	0.5198323614700106
4	-0.5113915596425782	0.43874183637033587	-0.7604148031979623	-1.1641494363793798	-1.1334297561540514	0.2424726973041424	0.028030231184213782	0.13284659731327822	-0.15060953650191536	0.05061112059059344	0.006742981069268876	0.09110699665970602	-0.19126379032745572	-0.012583197544372487	0.09610726641024026	-0.0128242235891358	0.03491127589914341	-0.02847395631174423	0.014566465756103921	-0.14314782949028335	-0.14964502013551753	-0.08354869562697471	-0.11361900677364303	0.004793173853074782	-0.16092340078410736
5	-0.5158752747510229	0.4304522471922722	-0.7582863837049927	-1.109332184695259	-1.0434051920097571	0.193208903622836	0.033795603783413265	0.0442147958333286	-0.06703980118074679	0.056152327094391746	-0.077647890567128	0.05030161608069107	-0.17351569275180348	-0.01484516260558594	-0.04639579598966572	-0.047626544214679725	-0.05677276830992028	0.11423630847740017	-0.020727042326309692	-0.026427206114834463	-0.16590448003848388	-0.21124329195397187	-0.26596350671226376	-0.08799873048339008	-0.12002869843354541
6	-0.5260971331352337	0.41060535169279316	-0.7495098581394437	-1.0809993851290445	-1.014744133725399	0.20025342826908943	-0.006584385484220027	0.023154513344277844	-0.022262591112067475	0.05246559531385068	-0.03546130526401455	0.07857791031770793	-0.20914906001548061	-0.007659705191660159	0.044214973937444974	-0.00350784019154206	0.04394256145360335	-0.04048011131964463	0.03197691230058339	-0.1601674460332017	-0.1566852496264699	-0.15916246253074098	-0.13179548630846474	0.013882594459556702	-0.1899522814534643
7	-0.6191060302071598	0.5256620611792296	-0.9631158714239713	-1.5333629661623163	-0.951289228414405	0.6010617280802887	0.0372290129206099	-0.06720116139774869	0.023743235108122367	0.07948578170165413	-0.12006987737324772	0.06553823227934705	-0.1185832556196098	-0.040509010433079626	-0.19649447231985356	-0.13552088939192125	-0.03954993815019666	0.32503076491206406	-0.015227151911061176	0.0579859494547312	-0.19713689370858392	-0.1379021841789376	-0.21435992932964515	-0.059199185484042176	-0.13592249873909618
8	-0.3940552927509883	0.2502104320500175	-0.4740123260323211	-0.4987565403367158	-0.43978598480875897	-0.23033687303559391	0.008140688708867683	0.19836879295766935	-0.20415924966655982	0.039063006952839374	-0.03920218493274174	0.00297052670648617	-0.15944870863105487	0.009167740662106362	0.17257971782876605	0.06962680856854195	-0.12061510666219204	-0.03935717494377139	-0.01242063778881458	-0.288636560929321	-0.24336432873760197	-0.182548239988536	-0.2872915510563347	0.06175025589132484	-0.2121610433807909
9	-0.3940552927509883	0.2502104320500175	-0.47401232603232096	-0.49875654033671596	-0.43978598480875947	-0.23033687303560227	0.008140688708846825	0.19836879295789525	-0.20415924966650584	0.03906300695286084	-0.039202184932724427	0.002970526706610221	-0.15944870863093993	0.009167740662178446	0.17257971782863413	0.0696268085685217	-0.12061510666225109	-0.03935717494368983	-0.012420637788848086	-0.2886365609291746	-0.2433643287375045	-0.18254823998848319	-0.28729155105642395	0.0617502558914055	-0.21216104338076125
